# xollvm SLE pool v1 — nonlinear-lifted SLE runtime-zero forms
# basis order: one x y and or xor nx ny nand nor xnor xany nxay
# line: <base:add|sub> <lift:cube|pow4|prodsq> <13 int coeffs of spelling f>
#   zero(x,y) = lift(f) - lift(canonical(base)),  f == canonical(base)
add prodsq -3 0 0 1 0 1 -1 0 4 -4 4 -1 0
add cube 0 -2 4 2 -2 1 -2 2 0 0 0 2 0
sub prodsq 0 0 -3 1 0 3 0 2 0 -4 2 -4 -1
add cube 2 0 -1 4 -3 1 0 -4 2 0 0 3 0
add pow4 0 -1 0 3 2 1 0 -1 0 3 -2 0 -2
add prodsq 2 0 0 2 0 1 0 0 0 0 -2 -2 -2
sub pow4 -3 3 0 2 0 0 0 0 0 5 -2 1 2
sub pow4 0 0 -3 2 1 1 2 -2 0 0 0 1 -2
add prodsq 0 0 0 2 0 -1 0 0 2 -2 0 0 0
add cube 0 0 0 2 1 0 1 0 0 0 -1 0 -1
add prodsq 0 0 -2 4 0 3 0 0 0 0 0 -2 0
add cube 4 0 0 2 -2 -1 0 0 0 -2 -2 0 0
add pow4 3 1 0 -2 0 1 0 0 -3 0 0 -1 0
sub prodsq -4 0 -2 0 6 -6 0 -2 6 0 0 1 -1
add prodsq 0 0 2 3 0 1 0 -1 4 0 -3 -3 -6
add prodsq 4 -3 0 2 -1 1 0 0 0 -4 0 0 -3
sub prodsq 0 0 -2 1 1 0 0 0 -2 2 0 2 2
add cube 0 0 -2 1 3 1 3 -2 -1 0 0 0 -3
sub pow4 0 -6 6 0 0 0 0 0 3 -3 0 4 -10
sub prodsq -5 0 0 0 3 -1 0 0 3 0 2 1 -1
sub cube 0 0 0 0 0 0 0 0 2 -2 0 -1 -3
sub prodsq 0 -2 5 0 0 0 0 3 0 0 -3 0 -6
sub pow4 0 0 2 0 -2 0 -3 1 1 1 0 1 1
add pow4 0 0 -2 2 0 4 0 0 0 -2 2 -3 -1
sub cube 0 4 -4 0 0 0 2 -1 0 -1 0 -2 1
sub pow4 2 -3 2 0 1 0 0 0 0 0 -2 1 -6
add prodsq 0 3 0 2 0 -5 0 3 0 0 -3 0 6
sub prodsq 4 -3 -1 0 0 0 -3 0 -1 0 0 1 0
sub prodsq 0 1 -1 0 0 0 -3 1 2 0 0 -3 1
sub pow4 -1 2 1 -2 0 0 0 0 0 1 0 0 -1
sub cube 0 0 0 0 0 2 -3 0 -2 5 0 1 2
add cube 0 4 0 -2 0 -2 0 0 0 0 0 -1 3
add prodsq -3 0 0 4 0 4 3 0 0 -1 1 0 -3
add prodsq 0 1 0 -3 2 1 1 0 -3 0 2 0 0
add pow4 4 -3 -3 2 0 4 0 0 -4 -2 2 0 0
sub prodsq 0 0 -2 0 0 0 -2 -4 4 0 2 1 -1
add cube 0 0 -3 -1 -1 12 0 0 -7 0 7 -3 0
add prodsq 0 0 -1 2 1 -1 2 1 0 -3 0 0 0
add pow4 0 0 0 3 -1 1 -2 0 1 1 0 0 2
sub cube 3 0 0 0 0 0 0 0 0 0 -3 -2 -4
sub prodsq 0 0 0 -1 1 0 0 -1 0 1 0 1 -2
add prodsq 0 0 1 4 -3 1 -3 0 3 0 0 0 2
add pow4 2 0 0 3 -3 1 -2 0 0 0 0 1 3
add cube 0 1 0 2 0 1 3 -1 0 -1 -1 0 -3
sub cube 0 -2 3 0 0 0 -1 -1 3 0 -1 1 -6
sub prodsq -1 0 0 0 0 0 0 2 -1 -1 1 1 1
add pow4 0 0 0 2 0 1 0 -2 2 0 0 0 -2
add pow4 3 0 0 2 -3 -1 0 0 2 -5 0 0 0
sub cube 0 0 -2 2 0 -1 3 -3 0 0 0 5 -1
sub prodsq -2 0 0 0 2 0 0 -3 0 5 0 4 -1
sub cube 0 0 -2 1 0 0 5 0 -3 -3 1 4 -1
add cube 3 0 0 5 -3 1 0 0 0 0 -3 0 0
add prodsq 1 -1 0 2 0 -1 0 -2 1 0 0 3 0
sub pow4 -3 2 -1 0 2 0 4 -1 0 0 0 1 -3
sub prodsq -3 0 -2 0 0 5 0 0 0 -2 5 -1 -1
sub pow4 0 2 0 0 -2 0 0 0 0 0 0 1 1
sub cube 3 -3 -5 8 0 0 0 0 0 0 -3 1 1
add pow4 -1 0 0 2 0 3 0 0 0 0 1 -1 -1
add pow4 0 -3 0 2 3 2 0 0 0 0 0 -1 -4
sub prodsq 0 0 2 0 0 0 2 0 0 0 -2 1 -5
add prodsq 2 -2 0 2 0 1 -2 2 0 -2 0 -2 0
sub cube 0 -1 0 2 0 0 0 0 0 1 -1 2 -1
sub prodsq 0 0 0 -3 3 0 0 0 0 0 0 -2 -4
sub prodsq 0 -6 0 0 0 0 0 -3 0 -3 6 10 -1
sub cube 0 0 0 0 -2 5 1 -3 0 0 2 1 -5
sub prodsq 0 -1 0 1 0 0 0 0 0 0 0 2 -1
add cube -1 2 -1 5 -3 3 0 0 0 1 0 0 3
sub pow4 0 0 0 0 0 0 0 -3 3 0 0 1 -4
sub prodsq -1 0 4 -3 0 -1 -2 0 0 3 0 3 -1
add prodsq -3 0 0 2 0 1 0 0 0 0 3 3 3
add cube 0 0 1 0 0 0 -3 0 1 1 1 0 2
add cube 2 0 -1 2 0 0 0 -1 0 0 -1 0 0
sub prodsq 2 0 -5 3 2 0 0 0 0 0 -2 -3 0
add cube 0 0 0 2 0 1 0 0 0 0 0 0 0
sub pow4 2 -3 0 0 0 0 -3 0 1 -1 1 1 -1
sub pow4 0 -3 -3 3 3 0 0 0 0 0 0 1 -1
add pow4 1 0 0 2 0 -1 0 0 1 -1 -1 0 0
sub cube 0 0 -1 1 0 0 -2 3 0 -1 0 -2 2
sub cube 1 -1 0 0 0 -1 0 0 0 -1 0 2 -1
sub pow4 -2 0 1 0 2 0 -3 0 0 6 -1 1 1
add prodsq 0 0 -3 -1 6 -3 0 0 0 0 0 -2 1
add pow4 0 0 6 -1 -3 1 -3 3 0 0 0 0 0
add cube -3 2 0 3 0 3 0 0 -1 4 0 0 2
sub pow4 -4 0 0 0 4 0 0 0 0 4 0 1 -1
sub cube 0 0 0 0 0 -6 3 0 3 -6 0 4 -1
sub cube 0 3 0 -3 0 0 0 -3 0 3 0 1 -1
sub cube 0 0 0 -5 2 -1 -1 -2 0 0 3 2 -1
sub pow4 2 -3 0 0 2 0 0 0 -1 0 -1 1 -4
add pow4 0 0 0 2 0 1 0 -3 2 1 0 1 -2
add pow4 -2 0 0 4 0 1 1 0 2 -1 0 0 -1
add cube -3 0 0 1 0 1 0 -1 3 -3 4 1 0
sub pow4 -2 0 0 0 0 0 0 3 -1 -2 2 1 2
add cube -1 2 0 2 0 -2 2 0 0 0 -1 2 2
add cube 0 0 0 2 0 4 1 0 -1 0 0 -2 -3
sub pow4 -3 0 0 2 0 0 0 0 3 -1 1 1 -1
add prodsq 0 0 0 2 0 2 1 0 -1 0 0 0 -1
sub cube 0 2 0 0 -1 0 0 -2 1 2 -1 1 -1
sub prodsq 0 1 0 0 0 0 0 -1 0 2 -1 1 -1
add pow4 0 -2 4 2 0 -2 0 0 2 0 -2 3 -3
sub cube 0 3 0 0 0 0 1 -2 -1 5 -3 1 -1
add pow4 3 0 -3 2 0 1 -1 -3 1 0 0 -1 0
sub cube 0 -5 0 7 0 0 0 2 0 0 -2 4 -1
add cube 0 -1 0 -2 2 2 -3 0 0 0 3 -2 0
sub cube 0 0 -2 0 8 -4 0 6 0 0 -6 -9 -3
add cube 1 0 0 2 0 0 0 0 0 0 -1 0 0
sub pow4 3 0 0 0 0 -1 -3 0 3 0 -3 -4 -3
add pow4 -1 0 2 1 0 1 0 1 0 0 0 0 -1
sub pow4 2 -5 0 -2 2 0 -5 0 0 0 3 2 0
sub cube -1 3 -2 0 0 0 3 -2 0 0 0 1 -1
add prodsq -8 0 3 3 0 2 -3 0 7 0 4 0 0
add pow4 4 0 0 2 -1 1 -3 0 0 2 -3 -3 0
add prodsq 0 0 3 -5 1 1 0 0 0 -3 3 -1 -4
add cube 0 -1 0 6 -3 3 0 0 2 -2 0 0 -1
sub pow4 -3 2 0 1 0 0 1 1 0 1 0 1 1
sub prodsq 2 -2 0 0 0 0 0 -4 0 2 0 5 -3
sub pow4 0 5 -1 -2 -2 0 3 0 -3 0 0 1 2
sub prodsq -3 6 0 0 0 0 1 0 2 3 -3 -4 -1
add pow4 -2 0 3 2 0 1 1 2 0 0 -1 0 -2
add pow4 0 0 -3 5 0 2 0 0 2 -2 0 -3 0
add prodsq 1 0 -1 2 0 1 0 -1 0 0 0 0 0
add cube 2 0 0 3 -2 1 0 -1 0 0 -1 1 0
add cube 0 3 -1 5 -5 3 0 -6 6 0 0 0 -2
add pow4 0 0 0 3 -3 4 0 -1 0 -1 2 1 0
sub prodsq 0 0 1 0 2 0 3 0 0 0 -3 -1 -7
sub cube 0 8 8 0 -11 0 0 0 3 2 -5 1 -1
sub pow4 0 2 -2 0 0 0 0 0 0 0 0 -1 1
sub prodsq -3 0 3 0 0 0 0 0 0 3 0 4 -1
add cube 3 0 0 -1 0 -1 0 0 0 -3 0 -1 -1
sub cube 0 0 1 -3 4 -5 0 2 0 0 -2 0 -1
sub pow4 -1 0 0 0 -2 0 0 -2 0 0 3 6 2
sub pow4 -2 0 0 0 0 2 0 0 0 0 2 1 -1
sub cube 0 -2 0 0 0 -3 0 -3 1 0 2 8 1
add cube 0 1 0 2 -1 1 -1 0 0 1 0 0 2
add pow4 2 0 0 2 0 1 0 -2 0 2 -2 0 -2
add pow4 0 3 -3 2 0 4 0 1 0 -1 0 -7 0
add pow4 1 -3 -2 3 3 1 0 0 -1 0 0 0 -1
sub cube 0 0 0 4 -1 0 0 0 0 3 -3 2 0
add prodsq -2 0 0 4 0 -1 4 -2 0 0 0 6 0
sub prodsq 0 -3 -5 8 0 4 1 -1 0 0 0 1 -1
add pow4 0 0 0 2 0 1 0 0 0 0 0 0 0
add pow4 -1 0 0 2 0 -1 0 -3 3 0 1 3 0
add prodsq 0 1 0 1 0 3 -1 0 0 1 0 -3 -1
add cube 0 -5 -2 4 2 1 0 3 0 -6 3 0 0
sub pow4 0 0 2 0 -2 0 2 -2 0 0 0 5 -3
add prodsq 0 0 -1 2 0 1 0 0 0 -1 1 0 1
add prodsq 0 1 0 1 0 -1 0 0 0 0 0 1 2
sub pow4 0 0 -1 0 0 3 2 1 -4 0 1 1 -1
add pow4 0 0 0 2 0 1 -1 3 0 -2 0 -3 1
add prodsq 0 -1 0 5 -3 4 0 1 0 -2 1 0 0
add pow4 0 0 -3 2 3 1 2 0 0 -2 0 -3 -2
sub cube 0 -1 0 0 1 -1 0 0 0 0 0 2 -1
sub prodsq 2 0 -2 0 0 1 1 -1 -2 0 0 1 -1
